Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,12,3,0,.800,445,349,96,6.4,-0.2,6.2,5.5,0.7
Miami Dolphins,10,5,0,.667,378,282,96,6.4,-1.8,4.6,0.1,4.5
New England Patriots,6,9,0,.400,298,339,-41,-2.7,1.5,-1.3,-4.3,3.0
New York Jets,2,13,0,.133,229,429,-200,-13.3,2.0,-11.3,-8.6,-2.7
Pittsburgh Steelers,12,3,0,.800,394,288,106,7.1,-1.9,5.1,0.6,4.5
Cleveland Browns,10,5,0,.667,384,397,-13,-0.9,-2.3,-3.1,0.1,-3.2
Baltimore Ravens,10,5,0,.667,430,300,130,8.7,-1.5,7.1,3.5,3.6
Cincinnati Bengals,4,10,1,.300,308,386,-78,-5.2,-1.1,-6.3,-4.5,-1.8
Indianapolis Colts,10,5,0,.667,423,348,75,5.0,-2.1,2.9,1.7,1.2
Tennessee Titans,10,5,0,.667,450,401,49,3.3,-1.5,1.7,4.2,-2.5
Houston Texans,4,11,0,.267,346,423,-77,-5.1,-0.5,-5.7,-2.2,-3.5
Jacksonville Jaguars,1,14,0,.067,292,464,-172,-11.5,-0.3,-11.8,-6.0,-5.7
Kansas City Chiefs,14,1,0,.933,452,324,128,8.5,-0.1,8.4,5.4,3.0
Las Vegas Raiders,7,8,0,.467,402,447,-45,-3.0,1.2,-1.8,2.9,-4.7
Los Angeles Chargers,6,9,0,.400,346,405,-59,-3.9,-0.6,-4.5,-1.8,-2.7
Denver Broncos,5,10,0,.333,292,414,-122,-8.1,2.0,-6.1,-4.4,-1.8
