,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,16,251,4134,882,4.7,32,13,248,269,484,2835,14,19,5.4,146,357,1299,8,3.6,79,104,875,23,25.9,17.2,201.08
2,Philadelphia Eagles,16,260,5115,1039,4.9,28,11,299,334,550,3212,16,17,5.4,165,442,1903,13,4.3,101,119,1001,33,25.1,13.1,158.04
3,New England Patriots,16,260,4972,988,5.0,36,16,290,315,538,3400,18,20,5.8,177,405,1572,9,3.9,83,118,1014,30,24.0,20.0,244.33
4,New York Jets,16,261,4878,966,5.0,33,14,282,289,497,3312,21,19,6.2,169,432,1566,8,3.6,87,86,720,26,25.3,16.9,180.71
5,Washington Redskins,16,265,4281,974,4.4,26,8,251,294,515,2977,17,18,5.4,153,419,1304,7,3.1,67,97,797,31,20.7,12.6,202.79
6,Baltimore Ravens,16,268,4803,1009,4.8,34,13,272,276,501,3122,14,21,5.8,158,469,1681,9,3.6,88,101,796,26,24.6,16.6,267.76
7,Jacksonville Jaguars,16,280,5134,972,5.3,28,12,290,306,497,3357,18,16,6.3,181,438,1777,7,4.1,83,118,966,26,26.4,16.1,86.29
8,Buffalo Bills,16,284,4228,978,4.3,39,15,258,261,486,2624,20,24,4.9,150,447,1604,6,3.6,79,120,865,29,27.6,19.3,253.88
9,Denver Broncos,16,304,4459,918,4.9,20,8,235,272,484,2947,17,12,5.6,130,396,1512,16,3.8,83,120,1062,22,28.1,9.9,126.08
10,Tampa Bay Buccaneers,16,304,4552,961,4.7,27,11,258,247,436,2579,21,16,5.4,131,480,1973,8,4.1,101,112,897,26,26.2,13.4,216.56
11,San Diego Chargers,16,313,5360,991,5.4,33,10,320,372,607,4053,19,23,6.4,200,355,1307,15,3.7,79,109,940,41,29.5,17.5,66.50
12,Arizona Cardinals,16,322,5141,993,5.2,30,15,282,271,505,3036,18,15,5.6,153,450,2105,12,4.7,101,139,1121,28,27.1,14.8,162.40
13,Chicago Bears,16,331,5390,1046,5.2,29,12,302,287,515,3340,23,17,6.1,165,496,2050,9,4.1,109,120,914,28,26.9,13.4,199.63
14,Atlanta Falcons,16,337,5207,999,5.2,32,13,310,328,517,3526,19,19,6.2,183,434,1681,20,3.9,107,129,930,20,29.7,16.8,133.45
15,Carolina Panthers,16,339,5382,1021,5.3,38,12,307,303,513,3478,18,26,6.4,177,474,1904,19,4.0,98,117,1078,32,30.5,19.8,148.93
16,Houston Texans,16,339,5458,971,5.6,30,8,304,344,530,3615,32,22,6.5,194,417,1843,4,4.4,89,123,979,21,32.6,16.9,98.16
17,New York Giants,16,347,5187,1005,5.2,28,14,310,292,467,3030,28,14,6.0,170,498,2157,13,4.3,112,120,1007,28,31.9,14.7,72.08
18,Detroit Lions,16,350,5401,1071,5.0,24,10,320,328,535,3514,29,14,6.1,167,498,1887,10,3.8,118,114,976,35,29.6,12.2,89.24
19,Indianapolis Colts,16,351,5929,1042,5.7,36,17,331,364,557,3892,26,19,6.5,209,440,2037,12,4.6,103,116,877,19,35.4,18.5,50.75
20,Miami Dolphins,16,354,4894,1009,4.9,25,10,281,244,434,2592,20,15,5.5,139,539,2302,12,4.3,107,107,852,35,25.4,11.2,158.56
21,Cincinnati Bengals,16,372,5365,1031,5.2,36,16,303,313,520,3303,23,20,5.9,158,474,2062,11,4.4,123,106,887,22,31.8,16.4,169.40
22,Seattle Seahawks,16,373,5621,1047,5.4,35,12,311,340,559,3590,24,23,6.0,191,452,2031,17,4.5,102,91,748,18,35.2,18.1,87.63
23,Green Bay Packers,16,380,5541,967,5.7,15,7,307,314,518,3663,33,8,6.6,181,409,1878,12,4.6,92,112,942,34,34.3,7.7,20.76
24,Cleveland Browns,16,390,5215,1024,5.1,28,13,307,277,460,2901,17,15,5.9,144,532,2314,22,4.3,141,109,890,22,32.3,12.3,104.72
25,St. Louis Rams,16,392,5353,1006,5.3,15,9,311,292,492,3174,24,6,6.0,172,480,2179,13,4.5,118,109,827,21,37.6,7.7,23.59
26,Minnesota Vikings,16,395,5902,1018,5.8,22,11,350,338,544,3896,30,11,6.7,220,435,2006,15,4.6,110,110,974,20,41.6,13.3,0.82
27,New Orleans Saints,16,405,6141,1067,5.8,33,20,343,324,545,3888,24,13,6.7,193,485,2253,16,4.6,118,119,965,32,36.6,16.5,20.21
28,Dallas Cowboys,16,405,5285,960,5.5,22,9,297,310,502,3521,31,13,6.6,180,425,1764,14,4.2,88,104,879,29,35.7,10.8,48.18
29,Kansas City Chiefs,16,435,6037,960,6.3,21,8,327,312,522,4203,32,13,7.5,190,397,1834,18,4.6,97,117,957,40,38.8,10.9,6.49
30,Tennessee Titans,16,439,5724,977,5.9,30,12,318,333,524,3807,29,18,6.8,189,421,1917,18,4.6,99,95,774,30,36.5,14.6,25.50
31,Oakland Raiders,16,442,5936,1072,5.5,18,9,367,315,510,3924,30,9,7.3,210,537,2012,21,3.7,115,102,837,42,37.2,9.8,3.93
32,San Francisco 49ers,16,452,5481,1014,5.4,21,12,322,308,490,3486,27,9,6.7,179,495,1995,22,4.0,121,107,867,22,37.9,9.7,36.51
,Avg Team,,343.8,5234.6,999.3,5.2,28.3,11.9,300.4,305.4,511.1,3368.7,22.9,16.4,6.1,172.6,450.9,1865.9,13.0,4.1,99.9,111.6,912.9,27.8,30.8,14.3,114.5
,League Total,,11000,167506,31978,5.2,904,380,9613,9772,16354,107797,732,524,6.1,5524,14428,59709,416,4.1,3198,3570,29214,891,30.8,14.3,
,Avg Tm/G,,21.5,327.2,62.5,5.2,1.8,0.7,18.8,19.1,31.9,210.5,1.4,1.0,6.1,10.8,28.2,116.6,0.8,4.1,6.2,7.0,57.1,1.7,30.8,14.3,
