Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,14,2,.875,437,260,177,11.1,1.8,12.8,6.4,6.5
New York Jets+,10,6,.625,333,261,72,4.5,2.1,6.6,0.5,6.0
Buffalo Bills,9,7,.563,395,284,111,6.9,1.1,8.1,4.6,3.5
Miami Dolphins,4,12,.250,275,354,-79,-4.9,2.7,-2.2,-2.7,0.5
Pittsburgh Steelers*,15,1,.938,372,251,121,7.6,1.4,9.0,3.4,5.6
Baltimore Ravens,9,7,.563,317,268,49,3.1,3.1,6.1,-0.6,6.8
Cincinnati Bengals,8,8,.500,374,372,2,0.1,2.5,2.7,4.3,-1.6
Cleveland Browns,4,12,.250,276,390,-114,-7.1,3.7,-3.4,-1.5,-1.9
Indianapolis Colts*,12,4,.750,522,351,171,10.7,0.7,11.4,11.7,-0.3
Jacksonville Jaguars,9,7,.563,261,280,-19,-1.2,1.9,0.8,-5.7,6.4
Houston Texans,7,9,.438,309,339,-30,-1.9,1.2,-0.6,-2.4,1.8
Tennessee Titans,5,11,.313,344,439,-95,-5.9,1.5,-4.4,0.3,-4.6
San Diego Chargers*,12,4,.750,446,313,133,8.3,0.8,9.1,6.1,3.0
Denver Broncos+,10,6,.625,381,304,77,4.8,1.0,5.9,1.6,4.3
Kansas City Chiefs,7,9,.438,483,435,48,3.0,2.3,5.3,10.0,-4.7
Oakland Raiders,5,11,.313,320,442,-122,-7.6,3.4,-4.3,-0.6,-3.7
