Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,10,6,.625,379,338,41,2.6,0.6,3.1,3.7,-0.5
Miami Dolphins,9,7,.563,318,317,1,0.1,-0.8,-0.8,-1.1,0.3
Buffalo Bills,5,11,.313,271,367,-96,-6.0,0.2,-5.8,-4.0,-1.8
New York Jets,4,12,.250,240,355,-115,-7.2,0.8,-6.4,-5.2,-1.2
Cincinnati Bengals*,11,5,.688,421,350,71,4.4,-0.6,3.8,6.5,-2.7
Pittsburgh Steelers+,11,5,.688,389,258,131,8.2,-0.4,7.8,3.8,4.0
Baltimore Ravens,6,10,.375,265,299,-34,-2.1,0.3,-1.8,-3.5,1.7
Cleveland Browns,6,10,.375,232,301,-69,-4.3,0.1,-4.2,-6.0,1.7
Indianapolis Colts*,14,2,.875,439,247,192,12.0,-1.2,10.8,5.6,5.2
Jacksonville Jaguars+,12,4,.750,361,269,92,5.8,-1.0,4.8,1.1,3.7
Tennessee Titans,4,12,.250,299,421,-122,-7.6,0.1,-7.6,-2.0,-5.5
Houston Texans,2,14,.125,260,431,-171,-10.7,0.7,-10.0,-4.4,-5.7
Denver Broncos*,13,3,.813,395,258,137,8.6,2.2,10.8,5.0,5.8
Kansas City Chiefs,10,6,.625,403,325,78,4.9,2.1,7.0,5.1,1.9
San Diego Chargers,9,7,.563,418,312,106,6.6,3.3,9.9,7.1,2.9
Oakland Raiders,4,12,.250,290,383,-93,-5.8,3.0,-2.8,-1.2,-1.6
