Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New York Giants*,11,5,.688,422,314,108,6.8,0.7,7.5,5.8,1.7
Washington Redskins+,10,6,.625,359,293,66,4.1,1.9,6.0,2.6,3.4
Dallas Cowboys,9,7,.563,325,308,17,1.1,2.1,3.2,-0.1,3.2
Philadelphia Eagles,6,10,.375,310,388,-78,-4.9,2.6,-2.3,-0.7,-1.7
Chicago Bears*,11,5,.688,260,202,58,3.6,-2.2,1.4,-5.2,6.6
Minnesota Vikings,9,7,.563,306,344,-38,-2.4,-1.1,-3.5,-1.4,-2.1
Detroit Lions,5,11,.313,254,345,-91,-5.7,-1.0,-6.7,-4.3,-2.4
Green Bay Packers,4,12,.250,298,344,-46,-2.9,-0.8,-3.7,-1.5,-2.2
Tampa Bay Buccaneers*,11,5,.688,300,274,26,1.6,-2.6,-1.0,-2.8,1.8
Carolina Panthers+,11,5,.688,391,259,132,8.3,-3.2,5.1,3.0,2.1
Atlanta Falcons,8,8,.500,351,341,10,0.6,-1.9,-1.2,1.1,-2.3
New Orleans Saints,3,13,.188,235,398,-163,-10.2,-0.9,-11.1,-6.2,-4.9
Seattle Seahawks*,13,3,.813,452,271,181,11.3,-2.2,9.1,5.8,3.4
St. Louis Rams,6,10,.375,363,429,-66,-4.1,-1.0,-5.1,1.3,-6.4
Arizona Cardinals,5,11,.313,311,387,-76,-4.8,-0.2,-5.0,-2.0,-3.0
San Francisco 49ers,4,12,.250,239,428,-189,-11.8,0.7,-11.1,-5.6,-5.5
