,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New York Jets,16,236,4037,953,4.2,31,14,237,259,501,2459,8,17,4.6,128,420,1578,11,3.8,87,87,680,22,20.3,14.4,262.87
2,Dallas Cowboys,16,250,5054,979,5.2,21,10,286,344,572,3606,19,11,5.9,186,365,1448,7,4.0,74,93,768,26,24.3,11.6,106.38
3,Baltimore Ravens,16,261,4808,991,4.9,32,10,280,306,524,3316,17,22,6.0,164,435,1492,8,3.4,82,88,741,34,26.3,16.7,209.19
4,San Francisco 49ers,16,281,5222,1050,5.0,33,15,278,352,580,3670,14,18,5.9,176,426,1552,12,3.6,77,114,969,25,26.7,15.5,226.78
5,New England Patriots,16,285,5123,941,5.4,28,10,289,300,512,3355,25,18,6.2,193,398,1768,6,4.4,80,91,780,16,25.1,14.0,84.84
6,Cincinnati Bengals,16,291,4822,980,4.9,25,6,276,318,547,3249,18,19,5.6,165,399,1573,12,3.9,95,99,767,16,28.6,13.5,142.70
7,Green Bay Packers,16,297,4551,948,4.8,40,10,272,294,540,3218,29,30,5.6,168,371,1333,5,3.6,68,107,914,36,25.3,21.0,164.58
8,Indianapolis Colts,16,307,5427,1084,5.0,26,10,320,372,583,3403,19,16,5.5,203,467,2024,10,4.3,106,92,889,11,33.0,14.0,126.71
9,Carolina Panthers,16,308,5053,976,5.2,37,15,290,305,495,3056,14,22,5.8,155,450,1997,15,4.4,109,82,632,26,26.5,19.3,161.09
10,Minnesota Vikings,16,312,4888,940,5.2,24,13,271,341,535,3494,26,11,6.0,183,357,1394,5,3.9,63,109,902,25,28.2,11.7,130.41
11,San Diego Chargers,16,320,5232,991,5.3,25,11,309,326,534,3348,23,14,5.9,177,422,1884,10,4.5,112,103,795,20,34.5,14.3,102.83
12,Denver Broncos,16,324,5040,1007,5.0,30,13,290,298,510,2981,18,17,5.4,167,458,2059,11,4.5,99,78,726,24,31.4,15.7,200.12
13,Pittsburgh Steelers,16,324,4885,967,5.1,22,10,274,319,548,3447,22,12,5.8,186,372,1438,7,3.9,70,102,903,18,28.7,12.4,100.00
14,Atlanta Falcons,16,325,5582,997,5.6,28,13,303,335,536,3871,25,15,6.9,197,433,1711,10,4.0,89,110,892,17,32.2,15.2,76.57
15,Arizona Cardinals,16,325,5543,1038,5.3,29,8,289,346,593,3739,22,21,5.9,188,402,1804,13,4.5,81,104,840,20,27.6,13.8,87.97
16,Buffalo Bills,16,326,5449,1086,5.0,33,5,310,295,519,2948,14,28,5.4,157,535,2501,19,4.7,134,107,919,19,28.6,16.7,128.19
17,Houston Texans,16,333,5198,974,5.3,27,13,300,344,548,3487,19,14,6.0,175,396,1711,17,4.3,91,92,728,34,30.8,13.2,106.97
18,Washington Redskins,16,336,5115,1000,5.1,17,6,280,314,511,3316,19,11,6.0,176,449,1799,10,4.0,85,98,763,19,33.7,9.6,158.17
19,Philadelphia Eagles,16,337,5137,1037,5.0,38,13,295,354,580,3462,27,25,5.5,179,413,1675,11,4.1,81,104,789,35,29.9,17.3,179.24
20,New Orleans Saints,16,341,5724,1044,5.5,39,13,310,330,574,3769,15,26,6.2,175,435,1955,19,4.5,111,86,717,24,31.4,18.0,178.25
21,Cleveland Browns,16,375,6229,1072,5.8,19,9,336,313,526,3915,22,10,6.9,189,506,2314,15,4.6,120,101,812,27,36.0,8.6,18.10
22,Chicago Bears,16,375,5404,1033,5.2,28,15,312,341,531,3382,29,13,6.0,186,467,2022,14,4.3,105,88,744,21,35.2,13.5,80.77
23,Oakland Raiders,16,379,5791,1023,5.7,20,12,314,259,438,3303,16,8,7.0,158,548,2488,24,4.5,126,86,684,30,36.3,7.8,-19.81
24,Jacksonville Jaguars,16,380,5637,982,5.7,25,10,307,345,510,3774,28,15,7.2,191,458,1863,12,4.1,100,64,498,16,38.1,14.3,20.68
25,Miami Dolphins,16,390,5589,968,5.8,21,6,297,281,489,3754,23,15,7.0,184,435,1835,16,4.2,88,73,589,25,38.7,11.3,85.69
26,Seattle Seahawks,16,390,5703,1024,5.6,23,10,305,374,568,3927,27,13,6.6,204,428,1776,17,4.1,80,111,971,21,33.7,10.7,34.35
27,Tampa Bay Buccaneers,16,400,5849,1039,5.6,29,10,324,301,482,3318,28,19,6.5,171,529,2531,16,4.8,129,80,731,24,36.8,14.2,55.40
28,Tennessee Titans,16,402,5850,1038,5.6,27,7,323,404,604,4139,31,20,6.5,210,402,1711,16,4.3,89,94,724,24,36.3,13.7,40.85
29,Kansas City Chiefs,16,424,6211,1062,5.8,28,13,318,302,509,3707,25,15,7.0,178,531,2504,18,4.7,122,106,821,18,35.8,13.4,78.21
30,New York Giants,16,427,5198,953,5.5,24,11,308,314,498,3425,31,13,6.5,182,423,1773,21,4.2,103,88,678,23,38.5,11.5,30.22
31,St. Louis Rams,16,436,5965,1016,5.9,20,12,333,315,491,3764,22,8,7.3,182,500,2201,24,4.4,127,80,613,24,35.3,10.3,-35.60
32,Detroit Lions,16,494,6274,1029,6.1,23,14,332,371,545,4249,35,9,7.4,213,458,2025,18,4.4,95,113,944,24,43.8,10.4,29.66
,Avg Team,,343.5,5362.2,1006.9,5.3,27.3,10.8,299.0,324.1,532.3,3495.3,22.2,16.4,6.2,179.6,440.3,1866.8,13.4,4.2,96.2,94.7,778.8,23.3,31.8,13.7,104.8
,League Total,,10991,171590,32222,5.3,872,347,9568,10372,17033,111851,710,525,6.2,5746,14088,59739,429,4.2,3078,3030,24923,744,31.8,13.7,
,Avg Tm/G,,21.5,335.1,62.9,5.3,1.7,0.7,18.7,20.3,33.3,218.5,1.4,1.0,6.2,11.2,27.5,116.7,0.8,4.2,6.0,5.9,48.7,1.5,31.8,13.7,
