Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,.750,465,315,150,9.4,-2.4,7.0,5.3,1.7
New York Jets,10,6,.625,387,314,73,4.6,-3.0,1.5,-0.5,2.0
Buffalo Bills,8,8,.500,379,359,20,1.3,-1.2,0.0,0.3,-0.2
Miami Dolphins,6,10,.375,310,389,-79,-4.9,-1.9,-6.8,-4.7,-2.2
Cincinnati Bengals*,12,4,.750,419,279,140,8.8,1.9,10.6,4.8,5.8
Pittsburgh Steelers+,10,6,.625,423,319,104,6.5,2.2,8.7,5.1,3.6
Baltimore Ravens,5,11,.313,328,401,-73,-4.6,2.6,-1.9,-0.7,-1.2
Cleveland Browns,3,13,.188,278,432,-154,-9.6,3.5,-6.1,-3.2,-2.9
Houston Texans*,9,7,.563,339,313,26,1.6,-2.4,-0.8,-3.3,2.6
Indianapolis Colts,8,8,.500,333,408,-75,-4.7,-2.0,-6.7,-3.1,-3.6
Jacksonville Jaguars,5,11,.313,376,448,-72,-4.5,-3.0,-7.5,-0.7,-6.9
Tennessee Titans,3,13,.188,299,423,-124,-7.8,-2.8,-10.5,-5.9,-4.6
Denver Broncos*,12,4,.750,355,296,59,3.7,2.1,5.8,0.3,5.5
Kansas City Chiefs+,11,5,.688,405,287,118,7.4,1.6,9.0,3.7,5.3
Oakland Raiders,7,9,.438,359,399,-40,-2.5,2.3,-0.2,1.4,-1.6
San Diego Chargers,4,12,.250,320,398,-78,-4.9,2.2,-2.6,-1.5,-1.1
