Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New York Giants*,12,4,0,.750,427,294,133,8.3,0.1,8.4,5.5,2.8
Philadelphia Eagles+,9,6,1,.594,416,289,127,7.9,-0.1,7.8,4.7,3.2
Dallas Cowboys,9,7,0,.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2
Washington Redskins,8,8,0,.500,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1
Minnesota Vikings*,10,6,0,.625,379,333,46,2.9,1.2,4.0,1.1,2.9
Chicago Bears,9,7,0,.563,375,350,25,1.6,0.5,2.1,1.1,1.0
Green Bay Packers,6,10,0,.375,419,380,39,2.4,0.5,2.9,4.1,-1.2
Detroit Lions,0,16,0,.000,268,517,-249,-15.6,2.5,-13.1,-4.0,-9.1
Carolina Panthers*,12,4,0,.750,414,329,85,5.3,0.3,5.6,2.8,2.9
Atlanta Falcons+,11,5,0,.688,391,325,66,4.1,-0.3,3.8,1.3,2.5
Tampa Bay Buccaneers,9,7,0,.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9
New Orleans Saints,8,8,0,.500,463,393,70,4.4,-0.3,4.0,6.8,-2.8
Arizona Cardinals*,9,7,0,.563,427,426,1,0.1,-1.9,-1.9,4.1,-6.0
San Francisco 49ers,7,9,0,.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4
Seattle Seahawks,4,12,0,.250,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8
St. Louis Rams,2,14,0,.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7.0
