,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Diego Chargers,16,492,5840,1016,5.7,15,6,321,287,466,3262,24,9,6.6,169,522,2578,32,4.9,137,90,791,15,43.2,6.8,-0.85
2,Chicago Bears,16,427,5199,1042,5.0,36,14,300,282,514,3281,24,22,6.1,161,503,1918,14,3.8,103,112,923,36,34.8,15.9,-133.82
3,Indianapolis Colts,16,427,6070,1011,6.0,19,10,376,362,557,4308,31,9,7.5,241,439,1762,17,4.0,112,86,718,23,47.4,10.9,26.73
4,Dallas Cowboys,16,425,5772,1015,5.7,30,9,336,310,506,3836,26,21,7.1,197,472,1936,21,4.1,107,100,939,32,38.1,15.3,-35.15
5,New Orleans Saints,16,413,6264,1075,5.8,23,10,330,372,580,4503,27,13,7.5,207,472,1761,19,3.7,99,79,597,24,36.8,12.1,-100.41
6,Philadelphia Eagles,16,398,6103,988,6.2,24,15,312,323,544,4119,31,9,7.2,189,416,1984,13,4.8,106,112,983,17,33.9,11.5,-32.03
7,New England Patriots,16,385,5369,1055,5.1,27,15,330,326,527,3400,25,12,6.1,181,499,1969,20,3.9,121,98,940,28,34.4,13.8,-76.38
8,Cincinnati Bengals,16,373,5462,994,5.5,24,11,313,327,523,3833,28,13,6.9,200,435,1629,14,3.7,88,92,717,25,35.6,12.2,-89.47
9,Jacksonville Jaguars,16,371,5423,989,5.5,23,9,293,266,446,2882,17,14,6.1,147,513,2541,23,5.0,127,97,810,19,35.1,11.2,-80.60
10,St. Louis Rams,16,367,5767,1065,5.4,18,10,332,371,592,3962,24,8,6.2,212,424,1805,13,4.3,94,116,960,26,37.7,8.7,-53.93
11,New York Giants,16,355,5214,1003,5.2,28,10,304,301,523,3058,24,18,5.6,163,455,2156,14,4.7,120,101,881,21,32.6,13.7,-108.77
12,Baltimore Ravens,16,353,5072,1017,5.0,23,9,282,328,524,3435,21,14,6.3,179,476,1637,11,3.4,86,109,878,17,31.3,11.5,-170.15
13,Pittsburgh Steelers,16,353,5725,1041,5.5,37,14,327,312,523,3733,23,23,6.5,201,469,1992,16,4.2,100,69,611,26,31.4,18.1,-76.32
14,Seattle Seahawks,16,335,4977,1045,4.8,34,12,312,292,512,3054,26,22,5.4,167,484,1923,8,4.0,112,94,700,33,29.9,17.3,-202.30
15,Kansas City Chiefs,16,331,5143,1004,5.1,26,14,310,272,450,3000,18,12,6.1,184,513,2143,17,4.2,105,76,577,21,32.4,12.6,-88.56
16,Tennessee Titans,16,324,4810,945,5.1,26,7,261,226,447,2596,13,19,5.5,133,469,2214,15,4.7,105,94,803,23,26.7,13.9,-168.40
17,Denver Broncos,16,319,4951,973,5.1,30,12,285,256,454,2799,20,18,5.8,151,488,2152,12,4.4,106,67,478,28,30.7,14.6,-139.19
18,New York Jets,16,316,4891,1013,4.8,25,9,289,313,488,3153,17,16,6.0,161,491,1738,15,3.5,99,70,560,29,31.8,13.6,-133.92
19,Arizona Cardinals,16,314,5000,999,5.0,30,13,298,322,545,3662,17,17,6.3,187,419,1338,12,3.2,84,117,937,27,32.2,15.3,-95.61
20,Washington Redskins,16,307,5243,979,5.4,17,7,295,274,470,3027,19,10,6.2,150,490,2216,13,4.5,123,106,939,22,30.2,9.5,-66.51
21,Detroit Lions,16,305,4949,963,5.1,39,17,290,372,596,3820,21,22,5.8,208,304,1129,9,3.7,53,116,939,29,31.9,21.1,-187.39
22,Green Bay Packers,16,301,5458,1085,5.0,33,15,301,350,630,3795,18,18,5.8,185,431,1663,9,3.9,93,90,689,23,26.6,16.1,-185.35
23,Buffalo Bills,16,300,4271,898,4.8,29,15,234,268,431,2719,19,14,5.7,132,420,1552,9,3.7,82,87,629,20,27.4,15.1,-160.68
24,San Francisco 49ers,16,298,4857,918,5.3,32,16,243,257,444,2685,16,16,5.6,132,438,2172,12,5.0,97,93,818,14,30.2,15.3,-179.97
25,Atlanta Falcons,16,292,5310,1000,5.3,20,5,287,222,416,2371,21,15,5.1,133,537,2939,9,5.5,134,96,877,20,28.8,10.9,-100.14
26,Minnesota Vikings,16,282,4943,1025,4.8,32,12,272,332,540,3123,13,20,5.4,160,442,1820,12,4.1,87,123,903,25,23.9,15.7,-203.52
27,Carolina Panthers,16,270,4923,994,5.0,27,10,278,325,539,3264,19,17,5.7,158,423,1659,7,3.9,100,103,744,20,25.4,12.7,-128.23
28,Houston Texans,16,267,4463,955,4.7,25,12,282,329,481,2778,14,13,5.3,156,431,1685,13,3.9,106,90,761,20,27.2,13.6,-127.87
29,Miami Dolphins,16,260,4960,1034,4.8,25,6,281,342,591,3287,16,19,5.2,180,402,1673,7,4.2,82,90,789,19,25.8,12.6,-183.26
30,Cleveland Browns,16,238,4233,938,4.5,42,17,250,318,512,2898,15,25,5.1,153,372,1335,7,3.6,72,74,687,25,22.9,21.3,-306.41
31,Tampa Bay Buccaneers,16,211,4321,972,4.4,32,14,237,296,535,2798,14,18,4.9,133,404,1523,6,3.8,82,87,732,22,19.5,16.3,-287.73
32,Oakland Raiders,16,168,3939,949,4.2,46,22,243,263,483,2420,7,24,4.4,144,394,1519,5,3.9,73,111,847,26,16.7,25.0,-358.27
,Avg Team,,330.5,5153.8,1000.0,5.2,28.0,11.8,293.9,306.1,512.2,3276.9,20.3,16.3,6.0,170.4,451.5,1876.9,13.3,4.2,99.8,95.2,786.2,23.6,30.9,14.2,-132.3
,League Total,,10577,164922,32000,5.2,897,377,9404,9796,16389,104861,648,520,6.0,5454,14447,60061,424,4.2,3195,3045,25157,755,30.9,14.2,
,Avg Tm/G,,20.7,322.1,62.5,5.2,1.8,0.7,18.4,19.1,32.0,204.8,1.3,1.0,6.0,10.7,28.2,117.3,0.8,4.2,6.2,5.9,49.1,1.5,30.9,14.2,
