Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,13,3,0,.813,421,306,115,7.2,-0.2,7.0,4.1,2.9
New York Giants+,11,5,0,.688,310,284,26,1.6,0.5,2.1,-3.2,5.4
Washington Redskins,8,7,1,.531,396,383,13,0.8,1.2,2.0,3.3,-1.3
Philadelphia Eagles,7,9,0,.438,367,331,36,2.3,1.6,3.8,1.3,2.5
Green Bay Packers*,10,6,0,.625,432,388,44,2.8,0.1,2.8,4.9,-2.0
Detroit Lions+,9,7,0,.563,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1
Minnesota Vikings,8,8,0,.500,327,307,20,1.3,-0.3,0.9,-2.6,3.6
Chicago Bears,3,13,0,.188,279,399,-120,-7.5,0.0,-7.5,-5.2,-2.3
Atlanta Falcons*,11,5,0,.688,540,406,134,8.4,0.1,8.5,10.5,-2.0
Tampa Bay Buccaneers,9,7,0,.563,354,369,-15,-0.9,0.7,-0.2,-1.5,1.3
New Orleans Saints,7,9,0,.438,469,454,15,0.9,0.6,1.5,6.8,-5.3
Carolina Panthers,6,10,0,.375,369,402,-33,-2.1,1.1,-1.0,-0.2,-0.8
Seattle Seahawks*,10,5,1,.656,354,292,62,3.9,-1.7,2.1,-2.4,4.5
Arizona Cardinals,7,8,1,.469,418,362,56,3.5,-1.9,1.6,2.4,-0.8
Los Angeles Rams,4,12,0,.250,224,394,-170,-10.6,-0.5,-11.1,-9.5,-1.6
San Francisco 49ers,2,14,0,.125,309,480,-171,-10.7,-0.5,-11.2,-3.7,-7.5
