Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,14,2,0,.875,441,250,191,11.9,-2.7,9.3,4.3,5.0
Miami Dolphins+,10,6,0,.625,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8
Buffalo Bills,7,9,0,.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2
New York Jets,5,11,0,.313,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3.0
Pittsburgh Steelers*,11,5,0,.688,399,327,72,4.5,0.2,4.7,2.8,2.0
Baltimore Ravens,8,8,0,.500,343,321,22,1.4,0.2,1.5,-1.1,2.6
Cincinnati Bengals,6,9,1,.406,325,315,10,0.6,0.4,1.0,-1.5,2.5
Cleveland Browns,1,15,0,.063,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9
Houston Texans*,9,7,0,.563,279,328,-49,-3.1,0.4,-2.6,-5.3,2.7
Tennessee Titans,9,7,0,.563,381,378,3,0.2,-1.2,-1.0,0.7,-1.7
Indianapolis Colts,8,8,0,.500,411,392,19,1.2,-0.8,0.4,3.1,-2.7
Jacksonville Jaguars,3,13,0,.188,318,400,-82,-5.1,0.2,-5.0,-2.7,-2.3
Kansas City Chiefs*,12,4,0,.750,389,311,78,4.9,0.7,5.6,1.2,4.4
Oakland Raiders+,12,4,0,.750,416,385,31,1.9,1.3,3.3,3.5,-0.3
Denver Broncos,9,7,0,.563,333,297,36,2.3,1.8,4.0,-2.0,6.1
San Diego Chargers,5,11,0,.313,410,423,-13,-0.8,0.9,0.1,3.0,-3.0
