Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,14,2,.875,518,313,205,12.8,2.6,15.4,12.6,2.8
New York Jets+,11,5,.688,367,304,63,3.9,2.5,6.5,2.2,4.2
Miami Dolphins,7,9,.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1
Buffalo Bills,4,12,.250,283,425,-142,-8.9,4.3,-4.6,-1.5,-3.1
Pittsburgh Steelers*,12,4,.750,375,232,143,8.9,1.3,10.2,2.5,7.7
Baltimore Ravens+,12,4,.750,357,270,87,5.4,1.0,6.4,0.9,5.5
Cleveland Browns,5,11,.313,271,332,-61,-3.8,2.3,-1.5,-3.4,2.0
Cincinnati Bengals,4,12,.250,322,395,-73,-4.6,3.1,-1.4,0.4,-1.9
Indianapolis Colts*,10,6,.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9
Jacksonville Jaguars,8,8,.500,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3
Houston Texans,6,10,.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7
Tennessee Titans,6,10,.375,356,339,17,1.1,0.0,1.0,-0.9,1.9
Kansas City Chiefs*,10,6,.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8
San Diego Chargers,9,7,.563,441,322,119,7.4,-2.6,4.8,3.2,1.6
Oakland Raiders,8,8,.500,410,371,39,2.4,-2.3,0.2,2.3,-2.2
Denver Broncos,4,12,.250,344,471,-127,-7.9,-1.0,-8.9,-1.1,-7.8
