Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,11,5,0,.688,436,325,111,6.9,-1.8,5.2,3.1,2.1
Miami Dolphins,7,9,0,.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2
Buffalo Bills,6,10,0,.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6
New York Jets,4,12,0,.250,333,441,-108,-6.8,-1.1,-7.8,-2.0,-5.9
Baltimore Ravens*,10,6,0,.625,389,287,102,6.4,0.6,7.0,0.6,6.4
Pittsburgh Steelers,9,6,1,.594,428,360,68,4.3,1.3,5.6,3.9,1.7
Cleveland Browns,7,8,1,.469,359,392,-33,-2.1,1.7,-0.3,-1.0,0.6
Cincinnati Bengals,6,10,0,.375,368,455,-87,-5.4,2.0,-3.4,0.0,-3.4
Houston Texans*,11,5,0,.688,402,316,86,5.4,-1.5,3.8,2.4,1.4
Indianapolis Colts+,10,6,0,.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6
Tennessee Titans,9,7,0,.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5
Jacksonville Jaguars,5,11,0,.313,245,316,-71,-4.4,0.4,-4.0,-8.1,4.0
Kansas City Chiefs*,12,4,0,.750,565,421,144,9.0,-0.1,8.9,12.6,-3.8
Los Angeles Chargers+,12,4,0,.750,428,329,99,6.2,-0.2,6.0,3.0,2.9
Denver Broncos,6,10,0,.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1
Oakland Raiders,4,12,0,.250,290,467,-177,-11.1,1.8,-9.3,-5.2,-4.1
