Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,10,6,0,.625,339,324,15,0.9,0.2,1.1,-1.9,2.9
Philadelphia Eagles+,9,7,0,.563,367,348,19,1.2,0.5,1.7,0.0,1.8
Washington Redskins,7,9,0,.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6
New York Giants,5,11,0,.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9
Chicago Bears*,12,4,0,.750,421,283,138,8.6,-2.3,6.3,1.5,4.8
Minnesota Vikings,8,7,1,.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8
Green Bay Packers,6,9,1,.406,376,400,-24,-1.5,-1.2,-2.7,0.0,-2.7
Detroit Lions,6,10,0,.375,324,360,-36,-2.3,-0.8,-3.0,-3.3,0.3
New Orleans Saints*,13,3,0,.813,504,353,151,9.4,0.6,10.1,7.9,2.2
Atlanta Falcons,7,9,0,.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6
Carolina Panthers,7,9,0,.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8
Tampa Bay Buccaneers,5,11,0,.313,396,464,-68,-4.3,1.7,-2.6,2.0,-4.6
Los Angeles Rams*,13,3,0,.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1
Seattle Seahawks+,10,6,0,.625,428,347,81,5.1,-0.6,4.5,3.0,1.5
San Francisco 49ers,4,12,0,.250,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1
Arizona Cardinals,3,13,0,.188,225,425,-200,-12.5,1.0,-11.5,-9.6,-1.9
