Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,16,0,1.000,589,274,315,19.7,0.4,20.1,15.9,4.2
Buffalo Bills,7,9,.438,252,354,-102,-6.4,2.3,-4.1,-5.6,1.5
New York Jets,4,12,.250,268,355,-87,-5.4,1.7,-3.7,-4.0,0.3
Miami Dolphins,1,15,.063,267,437,-170,-10.6,2.3,-8.4,-4.1,-4.2
Pittsburgh Steelers*,10,6,.625,393,269,124,7.8,-2.5,5.2,0.9,4.3
Cleveland Browns,10,6,.625,402,382,20,1.3,-2.3,-1.1,2.2,-3.3
Cincinnati Bengals,7,9,.438,380,385,-5,-0.3,-2.1,-2.4,1.6,-4.0
Baltimore Ravens,5,11,.313,275,384,-109,-6.8,0.1,-6.7,-5.0,-1.8
Indianapolis Colts*,13,3,.813,450,262,188,11.8,0.3,12.0,6.6,5.4
Jacksonville Jaguars+,11,5,.688,411,304,107,6.7,0.1,6.8,4.8,2.0
Tennessee Titans+,10,6,.625,301,297,4,0.3,0.5,0.7,-2.9,3.6
Houston Texans,8,8,.500,379,384,-5,-0.3,0.3,0.0,2.5,-2.5
San Diego Chargers*,11,5,.688,412,284,128,8.0,0.8,8.8,4.3,4.5
Denver Broncos,7,9,.438,320,409,-89,-5.6,1.6,-3.9,-0.2,-3.8
Kansas City Chiefs,4,12,.250,226,335,-109,-6.8,1.4,-5.5,-7.4,1.9
Oakland Raiders,4,12,.250,283,398,-115,-7.2,1.2,-6.0,-3.5,-2.5
