Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,13,3,.813,455,325,130,8.1,1.3,9.5,7.8,1.7
New York Giants+,10,6,.625,373,351,22,1.4,1.9,3.3,2.8,0.4
Washington Redskins+,9,7,.563,334,310,24,1.5,3.0,4.5,0.2,4.3
Philadelphia Eagles,8,8,.500,336,300,36,2.3,3.0,5.3,0.1,5.1
Green Bay Packers*,13,3,.813,435,291,144,9.0,0.0,9.0,5.7,3.3
Minnesota Vikings,8,8,.500,365,311,54,3.4,0.4,3.8,1.4,2.4
Detroit Lions,7,9,.438,346,444,-98,-6.1,2.6,-3.6,1.4,-5.0
Chicago Bears,7,9,.438,334,348,-14,-0.9,2.1,1.2,-0.2,1.4
Tampa Bay Buccaneers*,9,7,.563,334,270,64,4.0,-2.8,1.2,-2.3,3.6
Carolina Panthers,7,9,.438,267,347,-80,-5.0,-0.8,-5.8,-5.7,-0.1
New Orleans Saints,7,9,.438,379,388,-9,-0.6,-2.0,-2.5,1.9,-4.5
Atlanta Falcons,4,12,.250,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8
Seattle Seahawks*,10,6,.625,393,291,102,6.4,-4.6,1.8,0.8,0.9
Arizona Cardinals,8,8,.500,404,399,5,0.3,-4.3,-3.9,1.9,-5.9
San Francisco 49ers,5,11,.313,219,364,-145,-9.1,-2.9,-11.9,-9.9,-2.0
St. Louis Rams,3,13,.188,263,438,-175,-10.9,-2.0,-13.0,-6.5,-6.5
