,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
20,Houston Texans,16,356,5230,1056,5.0,21,11,291,281,512,3141,23,10,5.7,155,509,2089,14,4.1,116,102,955,20,29.0,8.6,34.65
21,Washington Redskins,16,365,4787,1006,4.8,26,12,281,304,531,3033,19,14,5.3,155,435,1754,14,4.0,96,119,972,30,33.3,13.0,87.30
22,San Diego Chargers,16,367,6034,1056,5.7,27,10,326,375,607,4295,26,17,6.6,205,410,1739,15,4.2,91,103,854,30,31.6,13.8,-47.05
23,Seattle Seahawks,16,369,5852,1083,5.4,30,11,356,321,555,3411,21,19,5.9,191,500,2441,18,4.9,140,99,816,25,34.5,15.8,-41.46
24,St. Louis Rams,16,369,5025,944,5.3,26,14,282,292,461,3209,15,12,6.4,148,445,1816,15,4.1,105,99,755,29,30.9,14.4,40.54
25,Chicago Bears,16,379,5606,1086,5.2,28,19,328,335,547,3530,24,9,6.1,185,504,2076,13,4.1,110,115,935,33,36.6,13.4,3.23
26,New Orleans Saints,16,388,5796,1071,5.4,38,18,327,343,593,3805,25,20,6.0,191,439,1991,18,4.5,108,110,953,28,33.7,18.4,28.52
27,Buffalo Bills,16,397,5189,999,5.2,19,9,303,281,495,3067,24,10,5.8,160,473,2122,20,4.5,107,117,1053,36,33.5,10.1,-7.64
28,Kansas City Chiefs,16,399,6248,1081,5.8,31,13,367,403,616,4181,27,18,6.4,227,431,2067,19,4.8,120,100,827,20,39.6,16.5,-73.38
29,Arizona Cardinals,16,417,6020,1046,5.8,25,8,335,335,535,3874,29,17,7.0,196,490,2146,17,4.4,117,111,969,22,36.4,12.3,-93.81
30,Minnesota Vikings,16,442,5769,963,6.0,23,7,315,335,542,4103,33,16,7.2,198,394,1666,15,4.2,83,100,824,34,36.9,12.3,-57.34
31,Detroit Lions,16,451,6117,1119,5.5,24,14,360,371,591,4150,27,10,6.7,221,495,1967,19,4.0,111,114,981,28,37.1,11.4,-61.93
32,Cincinnati Bengals,16,456,5265,976,5.4,20,11,315,287,454,3262,30,9,6.8,182,498,2003,16,4.0,104,101,867,29,38.5,10.6,-62.55
,Avg Team,,346.8,5253.8,1017.8,5.2,29.0,12.5,304.0,322.3,540.4,3395.7,21.7,16.5,5.9,175.9,440.7,1858.1,14.4,4.2,102.0,104.0,863.9,26.0,31.4,14.4,29.2
,League Total,,11097,168120,32569,5.2,927,399,9727,10314,17292,108661,694,528,5.9,5630,14102,59459,460,4.2,3264,3328,27645,833,31.4,14.4,
,Avg Tm/G,,21.7,328.4,63.6,5.2,1.8,0.8,19.0,20.1,33.8,212.2,1.4,1.0,5.9,11.0,27.5,116.1,0.9,4.2,6.4,6.5,54.0,1.6,31.4,14.4,
